ability_id,name,tactic,technique_id,platforms,executors_sources,requirements_sources
36eecb80-ede3-442b-8774-956e906aff02,1-min sleep,defense-evasion,T1497.003,"['darwin', 'linux', 'windows']",[],[]
f05e54049cfa10bc4018bf9e68676cc8,AWS - CloudTrail Logs Impairment Through S3 Lifecycle Rule using Stratus,defense-evasion,T1562.008,"['darwin', 'linux']",[],[]
647e4465558374490275ec1e6892902a,AWS - Disable CloudTrail Logging Through Event Selectors using Stratus,defense-evasion,T1562.008,"['darwin', 'linux']",[],[]
e1f9618acc7e0232967e78b6274251da,AWS - EC2 Enumeration from Cloud Instance,discovery,T1580,"['darwin', 'linux']",[],[]
a26601ea01296a3a01c3854340d1c396,AWS - Remove VPC Flow Logs using Stratus,defense-evasion,T1562.008,"['darwin', 'linux']",[],[]
33f718d05dddc362f6f83802b8b89e93,AWS - Retrieve EC2 Password Data using stratus,credential-access,T1552,"['darwin', 'linux']",[],[]
7cdbf13211f9012f4192405636a97e20,Add a new/existing user to the admin group using dseditgroup utility - macOS,multiple,T1078.003,['darwin'],[],[]
de52784d-4de6-4d4e-b79e-e7b68fe037fb,Add bookmark,execution,T1059.002,['darwin'],[],[]
f46fcebae29a2bde63127a3bcee47d23,Add command to .bash_profile,multiple,T1546.004,"['darwin', 'linux']",[],[]
78c03eac53060523b4eef3ad473d218c,Add command to .bashrc,multiple,T1546.004,"['darwin', 'linux']",[],[]
61fddd16aa5019ccc7e5440fc1be4dfc,Add file to Local Library StartupItems,multiple,T1037.005,['darwin'],[],[]
244cd00410232659c0098f9ad4b9da2a,Add macOS LoginItem using Applescript,multiple,T1547.015,['darwin'],[],[]
7a5720249df1912017c99a2df7f3d1a8,Append to existing loginwindow for Re-Opened Applications,multiple,T1547.007,['darwin'],[],[]
0ed5491929cf9b5d9cf848dfeea869eb,AppleScript,execution,T1059.002,['darwin'],[],[]
e3d4f78fc9dac33343b2f0865a8f8d45,AppleScript - Prompt User for Password,multiple,T1056.002,['darwin'],[],[]
43b3754c-def4-4699-a673-1d85648fda6a,Avoid logs,defense-evasion,T1070.003,"['darwin', 'linux', 'windows']",[],[]
d5c3d4d3a33600ba963db53932e355f7,Base64 Encoded data.,command-and-control,T1132.001,"['darwin', 'linux']",[],[]
b6382bbeb9bd52e48ca7249d30507c9a,Base64 decoding with Perl,defense-evasion,T1140,"['darwin', 'linux']",[],[]
58ef43e598c111afc81ba9a22c6af108,Base64 decoding with Python,defense-evasion,T1140,"['darwin', 'linux']",[],[]
326a9797b0d59b8f6d5a3c384c564b9f,Base64 decoding with shell utilities,defense-evasion,T1140,"['darwin', 'linux']",[],[]
2f5cf8c3e8a3a3e6e5621e8f77c5bf65,"Binary packed by UPX, with modified headers",defense-evasion,T1027.002,['darwin'],[],[]
eefa25ef5e2f94020b95d80e31ef2bc9,Binary simply packed by UPX,defense-evasion,T1027.002,['darwin'],[],[]
ec7c28b75e9af98aecb33ce5ae14e8c2,C compile,defense-evasion,T1027.004,"['darwin', 'linux']",[],[]
37ec8aa96775f561e02a954dae1b56bc,CC compile,defense-evasion,T1027.004,"['darwin', 'linux']",[],[]
0e5730f670555b9dba829f3d90cbd445,Change User Password via passwd,impact,T1531,"['darwin', 'linux']",[],[]
830bb6ed-9594-4817-b1a1-c298c0f9f425,Check Chrome,discovery,T1518,"['darwin', 'linux']",[],[]
9849d956-37ea-49f2-a8b5-f2ca080b315d,Check Go,discovery,T1518,"['darwin', 'linux']",[],[]
b18e8767-b7ea-41a3-8e80-baf65a5ddef5,Check Python,discovery,T1518,"['darwin', 'linux', 'windows']",[],[]
2b403e3d0f5501a43b025c29b7c55d60,Chmod through c script,defense-evasion,T1222.002,"['darwin', 'linux']",[],[]
0503af9fd6d1fbc9ddc632c91e32d2de,Chown through c script,defense-evasion,T1222.002,"['darwin', 'linux']",[],[]
a534890161825ac40b02e5f4c82cc5dd,Clear Bash history (cat dev/null),defense-evasion,T1070.003,"['darwin', 'linux']",[],[]
6ee56fbf12b8fe3df6bb96aa4abcbe01,Clear Bash history (ln dev/null),defense-evasion,T1070.003,"['darwin', 'linux']",[],[]
0b3075a32ff077d5e0c8212ff796ec36,Clear Bash history (rm),defense-evasion,T1070.003,"['darwin', 'linux']",[],[]
64099c73cfd2e72b45bf167e755e414c,Clear and Disable Bash History Logging,defense-evasion,T1070.003,"['darwin', 'linux']",[],[]
c9c5e0ffc0a02e309f7bdf4e2a3e5a65,Clear history of a bunch of shells,defense-evasion,T1070.003,"['darwin', 'linux']",[],[]
85341c8c-4ecb-4579-8f53-43e3e91d7617,Collect ARP details,discovery,T1018,"['darwin', 'linux', 'windows', 'windows']","['remote.host.ip', 'remote.host.ip', 'remote.host.ip', 'remote.host.ip']",[]
8764d6c964901b9a56ca3ffe5e5a004a,Command-Line Interface,execution,T1059.004,"['darwin', 'linux']",[],[]
300157e5-f4ad-4569-b533-9d1fa0e74d74,Compress staged directory,exfiltration,T1560.001,"['darwin', 'linux', 'windows', 'windows']","['host.dir.compress', 'host.dir.compress', 'host.dir.compress', 'host.dir.compress']",['host.dir.staged']
e3dac029090c397b775979ddb50fc30f,Connection Proxy,command-and-control,T1090.001,"['darwin', 'linux']",[],[]
c9b955a568daf19171ce87c25c7fd24c,Connection Proxy for macOS UI,command-and-control,T1090.001,['darwin'],[],[]
4908fdc4-74fc-4d7c-8935-26d11ad26a8d,Copy 54ndc47 (WinRM and SCP),lateral-movement,T1570,"['windows', 'windows', 'darwin', 'linux']",[],[]
b007fe0c-c6b0-4fda-915c-255bbc070de2,Copy Clipboard,collection,T1115,"['darwin', 'windows', 'windows', 'linux']",[],[]
f4dac543bf0d8241df7f584ad501bbd7,Copy Private SSH Keys with rsync,credential-access,T1552.004,"['darwin', 'linux']",[],[]
90ac777137516d90df82cb4a18864f93,Copy and Delete Mailbox Data on macOS,defense-evasion,T1070.008,['darwin'],[],[]
71f3968aa7bf30baa94c3e1ac1e2ebf1,Copy and Modify Mailbox Data on macOS,defense-evasion,T1070.008,['darwin'],[],[]
13370afb983bcc3344af451d8877f047,Copy in loginwindow.plist for Re-Opened Applications,multiple,T1547.007,['darwin'],[],[]
1d6526136ce6998ddb48511587e8ffe6,Copy the users GnuPG directory with rsync,credential-access,T1552.004,"['darwin', 'linux']",[],[]
8c47e4a4fe7c3e255b062ca1339d11ed,Create Hidden User using IsHidden option,defense-evasion,T1564.002,['darwin'],[],[]
e7fed022d1e3befe9ac5dbb086f75363,Create Hidden User using UniqueID < 500,defense-evasion,T1564.002,['darwin'],[],[]
379509c4b83f252bc779446f0512e936,Create a hidden file in a hidden directory,defense-evasion,T1564.001,"['darwin', 'linux']",[],[]
45c73c8b658b660da5cc7bb6207bc08f,Create a user account on a MacOS system,persistence,T1136.001,['darwin'],[],[]
8a84968196ec3b64b747b15008cafc2f,Create and Execute Bash Shell Script,execution,T1059.004,"['darwin', 'linux']",[],[]
d7264e14d130acb7e172b05ec2e1ae47,Create local account with admin privileges - MacOS,multiple,T1078.003,['darwin'],[],[]
bbc5f212082c3b0472a1f50748d9be2a,Create local account with admin privileges using sysadminctl utility - MacOS,multiple,T1078.003,['darwin'],[],[]
6469befa-748a-4b9c-a96d-f191fde47d89,Create staging directory,collection,T1074.001,"['darwin', 'linux', 'windows', 'windows']","['host.dir.staged', 'host.dir.staged', 'host.dir.staged', 'host.dir.staged']",[]
d9a63c6a2dac4621d430d0570c995a09,Cron - Add script to all cron subfolders,multiple,T1053.003,"['darwin', 'linux']",[],[]
