ability_id,name,tactic,technique_id,platforms,executors_sources,requirements_sources
36eecb80-ede3-442b-8774-956e906aff02,1-min sleep,defense-evasion,T1497.003,"['darwin', 'linux', 'windows']",[],[]
c7ec57cd-933e-42b6-99a4-e852a9e57a33,Account Discovery (all),discovery,T1087.002,['windows'],[],[]
364ea817-bbb9-4083-87dd-94b9dba45f6f,Account Discovery (targeted),discovery,T1087.002,"['windows', 'windows']",[],[]
2afae782-6d0a-4fbd-a6b6-d1ce90090eac,Account-type Admin Enumerator,discovery,T1069.002,['windows'],['remote.host.fqdn'],"['remote.host.fqdn', 'backup.admin.ability', 'domain.user.name', 'remote.host.fqdn']"
ed3b15750348bb19147cc63c9fcb46db,Add Network Share,defense-evasion,T1070.005,['windows'],[],[]
4593d72a5145e3f494421ac772d37464,Add Port Monitor persistence in Registry,multiple,T1547.010,['windows'],[],[]
3939013428dfc0bc10825755685849c2,Add and delete UFW firewall rules,defense-evasion,T1562.004,['linux'],[],[]
de52784d-4de6-4d4e-b79e-e7b68fe037fb,Add bookmark,execution,T1059.002,['darwin'],[],[]
10fad81e-3f68-47be-83b6-fbee7711c6a9,Advanced File Search and Stager,collection,T1119,"['windows', 'linux']","['host.dir.staged', 'host.dir.staged']",[]
41627f71f968225b9f162cb76d16bd9d,Allow Executable Through Firewall Located in Non-Standard Location,defense-evasion,T1562.004,['windows'],['validate_me'],[]
280003641a5cddf916c4f2bf605a71d3,Allow SMB and RDP on Microsoft Defender Firewall,defense-evasion,T1562.004,['windows'],[],[]
5c65eec8-4839-4713-a4e1-86b2e75d1927,Application Window Discovery,discovery,T1010,['windows'],[],[]
c11da2b048a9b0148f303ce5727f8fc0,At - Schedule a job,multiple,T1053.001,['linux'],[],[]
1b82e5d4e4707c4923e7a0f8143b3186,At.exe Scheduled task,multiple,T1053.002,['windows'],[],[]
43b3754c-def4-4699-a673-1d85648fda6a,Avoid logs,defense-evasion,T1070.003,"['darwin', 'linux', 'windows']",[],[]
3864fd22-5c63-41c9-bdbc-a66b5ffa3f5e,Bypass ExecutionPolicy,defense-evasion,T1562.001,['windows'],[],[]
e3db134c-4aed-4c5a-9607-c50183c9ef9e,Bypass UAC Medium,privilege-escalation,T1548.002,['windows'],[],[]
830bb6ed-9594-4817-b1a1-c298c0f9f425,Check Chrome,discovery,T1518,"['darwin', 'linux']",[],[]
9849d956-37ea-49f2-a8b5-f2ca080b315d,Check Go,discovery,T1518,"['darwin', 'linux']",[],[]
b18e8767-b7ea-41a3-8e80-baf65a5ddef5,Check Python,discovery,T1518,"['darwin', 'linux', 'windows']",[],[]
1258b063-27d6-489b-a677-4807faacf868,Check Security Services,defense-evasion,T1497.001,"['windows', 'windows']",[],[]
7a6ba833-de40-466a-8969-5c37b13603e0,Check analysis environment processes,defense-evasion,T1497.001,['windows'],[],[]
fcf71ee3-d1a9-4136-b919-9e5f6da43608,Clear Logs,defense-evasion,T1070.001,"['windows', 'windows']",[],[]
85341c8c-4ecb-4579-8f53-43e3e91d7617,Collect ARP details,discovery,T1018,"['darwin', 'linux', 'windows', 'windows']","['remote.host.ip', 'remote.host.ip', 'remote.host.ip', 'remote.host.ip']",[]
cf2b950c-3b6e-48b5-aa32-0d0973d1fa12,Command and Scripting Interpreter: Bash,execution,T1059.004,"['darwin', 'linux']",[],[]
