ability_id,name,tactic,technique_id,platform,executors_sources,requirements_sources
36eecb80-ede3-442b-8774-956e906aff02,1-min sleep,defense-evasion,T1497.003,darwin,[],[]
2d78dfbfea7fa4ec7349993b83048079,ADFS token signing and encryption certificates theft - Local,credential-access,T1552.004,darwin,[],[]
745d16045bcf10379b8cf2fa45f2b66e,ADFS token signing and encryption certificates theft - Remote,credential-access,T1552.004,darwin,[],[]
34952e2eefd3066c5f574744e1734ca6,AMSI Bypass - AMSI InitFailed,defense-evasion,T1562.001,darwin,[],[]
392e12d6a466407e28d1bb51cf0729bb,AMSI Bypass - Remove AMSI Provider Reg Key,defense-evasion,T1562.001,darwin,[],[]
c0177717b47f2cd07949186523fa3c6b,ATHPowerShellCommandLineParameter -Command parameter variations,execution,T1059.001,darwin,[],[]
106045f14741390cfb3fe95300585fb6,ATHPowerShellCommandLineParameter -Command parameter variations with encoded arguments,execution,T1059.001,darwin,[],[]
fca2ce47cdb3acfde35139ca9017af80,ATHPowerShellCommandLineParameter -EncodedCommand parameter variations,execution,T1059.001,darwin,[],[]
a935a79ba61ecb00458208b0bd5ef15e,ATHPowerShellCommandLineParameter -EncodedCommand parameter variations with encoded arguments,execution,T1059.001,darwin,[],[]
81f7dd9fd2c503588bbe15ea0a144294,AWS - CloudTrail Changes,defense-evasion,T1562.008,darwin,[],[]
f05e54049cfa10bc4018bf9e68676cc8,AWS - CloudTrail Logs Impairment Through S3 Lifecycle Rule using Stratus,defense-evasion,T1562.008,darwin,[],[]
b05d458f4fe87e5dce7f52987c89cdc8,AWS - Create Access Key and Secret Key,persistence,T1098.001,darwin,[],[]
6edfb4431a2c7b2809ebf6d0a7a63bc5,AWS - Create a group and add a user to that group,persistence,T1098,darwin,[],[]
2b00667c131aba669860a710213bbb88,AWS - Create a new IAM user,persistence,T1136.003,darwin,[],[]
647e4465558374490275ec1e6892902a,AWS - Disable CloudTrail Logging Through Event Selectors using Stratus,defense-evasion,T1562.008,darwin,[],[]
e1f9618acc7e0232967e78b6274251da,AWS - EC2 Enumeration from Cloud Instance,discovery,T1580,darwin,[],[]
9238ae711ad42fea9892671fef93783f,AWS - Password Spray an AWS using GoAWSConsoleSpray,credential-access,T1110.003,darwin,[],[]
a26601ea01296a3a01c3854340d1c396,AWS - Remove VPC Flow Logs using Stratus,defense-evasion,T1562.008,darwin,[],[]
33f718d05dddc362f6f83802b8b89e93,AWS - Retrieve EC2 Password Data using stratus,credential-access,T1552,darwin,[],[]
f1bd28014dc55d1849088a8e69a0b4ca,AWS - Scan for Anonymous Access to S3,collection,T1530,darwin,[],[]
0667a2ac10e4acb40163d61b0d923ad6,AWS S3 Enumeration,discovery,T1619,darwin,[],[]
e2e6f33cf77d10e3c82c244014da20c5,Abuse Nslookup with DNS Records,execution,T1059.001,darwin,[],[]
bdd7294d26bde5f398e6ec5d846cdee5,Access /etc/passwd (Local),credential-access,T1003.008,darwin,[],[]
af30d8506a8aba7a022b687261d22541,Access /etc/shadow (Local),credential-access,T1003.008,darwin,[],[]
9e771275f11328252ac359ee3cc2f32c,"Access /etc/{shadow,passwd} with a standard bin that's not cat",credential-access,T1003.008,darwin,[],[]
