ability_id,name,tactic,technique_id,platforms,executors_sources,requirements_sources
36eecb80-ede3-442b-8774-956e906aff02,1-min sleep,defense-evasion,T1497.003,['linux'],[],[]
2d78dfbfea7fa4ec7349993b83048079,ADFS token signing and encryption certificates theft - Local,credential-access,T1552.004,[],[],[]
745d16045bcf10379b8cf2fa45f2b66e,ADFS token signing and encryption certificates theft - Remote,credential-access,T1552.004,[],[],[]
34952e2eefd3066c5f574744e1734ca6,AMSI Bypass - AMSI InitFailed,defense-evasion,T1562.001,[],[],[]
392e12d6a466407e28d1bb51cf0729bb,AMSI Bypass - Remove AMSI Provider Reg Key,defense-evasion,T1562.001,[],[],[]
c0177717b47f2cd07949186523fa3c6b,ATHPowerShellCommandLineParameter -Command parameter variations,execution,T1059.001,[],[],[]
106045f14741390cfb3fe95300585fb6,ATHPowerShellCommandLineParameter -Command parameter variations with encoded arguments,execution,T1059.001,[],[],[]
fca2ce47cdb3acfde35139ca9017af80,ATHPowerShellCommandLineParameter -EncodedCommand parameter variations,execution,T1059.001,[],[],[]
a935a79ba61ecb00458208b0bd5ef15e,ATHPowerShellCommandLineParameter -EncodedCommand parameter variations with encoded arguments,execution,T1059.001,[],[],[]
e2e6f33cf77d10e3c82c244014da20c5,Abuse Nslookup with DNS Records,execution,T1059.001,[],[],[]
10ce4e4c0a8d29ead8968da8156d8358,Access Saved Credentials via VaultCmd,credential-access,T1555.004,[],[],[]
6fae357c43fd211c9d39fe7583281bf0,Access Token Manipulation,multiple,T1134.002,[],[],[]
780cde60c956ccbff24c43ff7b7e70ea,Access unattend.xml,credential-access,T1552.001,[],[],[]
c7ec57cd-933e-42b6-99a4-e852a9e57a33,Account Discovery (all),discovery,T1087.002,[],[],[]
364ea817-bbb9-4083-87dd-94b9dba45f6f,Account Discovery (targeted),discovery,T1087.002,[],[],[]
2afae782-6d0a-4fbd-a6b6-d1ce90090eac,Account-type Admin Enumerator,discovery,T1069.002,[],[],"['remote.host.fqdn', 'backup.admin.ability', 'domain.user.name', 'remote.host.fqdn']"
4e0f69a36c9e0b956f08afd5824972ce,Activate Guest Account,multiple,T1078.001,[],[],[]
fa4ba6a06b4a5cd955ea5a60fae24281,Activate Windows NoClose Group Policy Feature,defense-evasion,T1112,[],[],[]
cab7b85611a290c0769546bfa9d6f962,Activate Windows NoControlPanel Group Policy Feature,defense-evasion,T1112,[],[],[]
e74d2fb4ef5fa6c766a4151554033697,Activate Windows NoDesktop Group Policy Feature,defense-evasion,T1112,[],[],[]
257313a3c93e3bb7dfb60d6753b09e34,Activate Windows NoFileMenu Group Policy Feature,defense-evasion,T1112,[],[],[]
34041639e6e501856ecaf5969ee29c76,Activate Windows NoFind Group Policy Feature,defense-evasion,T1112,[],[],[]
7fe6a66d03f4dbfc022609ba311c2b11,Activate Windows NoPropertiesMyDocuments Group Policy Feature,defense-evasion,T1112,[],[],[]
fd992e8ecfdac9b56dd6868904044827,Activate Windows NoRun Group Policy Feature,defense-evasion,T1112,[],[],[]
ba6f6214dbd17c54001e0a163b60f151,Activate Windows NoSetTaskbar Group Policy Feature,defense-evasion,T1112,[],[],[]
4bfb5f265a5ce07af6bf10da113af7db,Activate Windows NoTrayContextMenu Group Policy Feature,defense-evasion,T1112,[],[],[]
1f15ab22c39a9b6bb2bb0d77276dfcb3,Add Executable Shortcut Link to User Startup Folder,multiple,T1547.001,[],[],[]
3acf5046708b8ad68ecb7aeacbdd8d14,Add Network Share,defense-evasion,T1070.005,[],[],[]
9cfb8e47dd14ee8f6d44afeaa294bab1,Add Port Monitor persistence in Registry,multiple,T1547.010,[],[],[]
9d21f3b551b40fa40056af1244af56ee,Add Root Certificate to CurrentUser Certificate Store,defense-evasion,T1553.004,[],[],[]
5bf05600c43ae20df8e0723ce2c3c30b,Add a driver,multiple,T1547,[],[],[]
7a6e495200cd37c66f02e7bc070b61a9,Add domain to Trusted sites Zone,defense-evasion,T1112,[],[],[]
0dbdf1a2a87e718a6ac8a8e3415a7fac,Add persistance via Recycle bin,multiple,T1547.001,[],[],[]
fcef063a231fb18e8a4b87f96a97fd5b,Adfind - Enumerate Active Directory Admins,discovery,T1087.002,[],[],[]
02f9ca082a6b35c0a753ce362dfea6f2,Adfind - Enumerate Active Directory Computer Objects,discovery,T1018,[],[],[]
c8fa438e6b9728cf7fa05dfd4a80b2f3,Adfind - Enumerate Active Directory Domain Controller Objects,discovery,T1018,[],[],[]
28533078a7bb86154fcb6d2236fe59b4,Adfind - Enumerate Active Directory Exchange AD Objects,discovery,T1087.002,[],[],[]
ef70c2665d6e37720964fcd4f38c5ec8,Adfind - Enumerate Active Directory OUs,discovery,T1482,[],[],[]
fb491bb831fbb5d3dcd96c92a1aa1700,Adfind - Enumerate Active Directory Subnet Objects,discovery,T1016,[],[],[]
097bbd452cdc6506e728287c7084333f,Adfind - Enumerate Active Directory Trusts,discovery,T1482,[],[],[]
157278cc77e4503c58945cec5129f566,Adfind - Enumerate Active Directory User Objects,discovery,T1087.002,[],[],[]
856ccc398377c9404685983bc04dabb2,Adfind - Query Active Directory Groups,discovery,T1069.002,[],[],[]
e2b2740289f34f77d74720f5c9edce3b,Adfind -Listing password policy,discovery,T1087.002,[],[],[]
778e76984e52af739eff58d6cce22f42,Admin Account Manipulate,persistence,T1098,[],[],[]
10fad81e-3f68-47be-83b6-fbee7711c6a9,Advanced File Search and Stager,collection,T1119,['linux'],['host.dir.staged'],[]
cfdcd33e3213f9c5a150b8b620d9d0f4,Allow Executable Through Firewall Located in Non-Standard Location,defense-evasion,T1562.004,[],[],[]
c33bd0d7424951f39b73a1f5f491fe17,Allow RDP Remote Assistance Feature,defense-evasion,T1112,[],[],[]
280003641a5cddf916c4f2bf605a71d3,Allow SMB and RDP on Microsoft Defender Firewall,defense-evasion,T1562.004,[],[],[]
7950c18da2779fa38c0bddeb6d470466,Alternate Data Streams (ADS),defense-evasion,T1564.004,[],[],[]
08c16e90b1f129f1219361ab95b54f93,Ammyy Admin Software Execution,command-and-control,T1219,[],[],[]
aada5380e7d0a4c7b71f2a324d9d5327,AnyDesk Files Detected Test on Windows,command-and-control,T1219,[],[],[]
49a7502f9c667aa3af9c87f6ab1e68b3,Append malicious start-process cmdlet,multiple,T1546.013,[],[],[]
d45d48dbea3384059e638eab6b03abb5,Application Shim Installation,multiple,T1546.011,[],[],[]
5c65eec8-4839-4713-a4e1-86b2e75d1927,Application Window Discovery,discovery,T1010,[],[],[]
5caa8f9190e3ec3a6f948d70ce67a738,Application uninstall using WMIC,execution,T1047,[],[],[]
b5fe84fa9fb8216512867a039a61db20,Applications Installed,discovery,T1518,[],[],[]
1b82e5d4e4707c4923e7a0f8143b3186,At.exe Scheduled task,multiple,T1053.002,[],[],[]
4bdc05fe2f0006f86575053dc740edf3,Attaches Command Prompt as a Debugger to a List of Target Processes,multiple,T1546.008,[],[],[]
2f8f26ef6caacf086dd9b7f7b5031fa5,Authentication Package,multiple,T1547.002,[],[],[]
76155f331bfb00e581a61edbeeafc661,Automated AD Recon (ADRecon),discovery,T1087.002,[],[],[]
8495696b0a75577de442ba54bef343c1,Automated Collection Command Prompt,collection,T1119,[],[],[]
0c7c18db582bff4d0da4b4f8fdb2be49,Automated Collection PowerShell,collection,T1119,[],[],[]
43b3754c-def4-4699-a673-1d85648fda6a,Avoid logs,defense-evasion,T1070.003,['linux'],[],[]
f4ae0566412bb12efb2d03466b4546e7,Bad Potato,multiple,T1134.001,[],[],[]
6103e503cb444bc7b4187704f2035708,Basic Permission Groups Discovery Windows (Domain),discovery,T1069.002,[],[],[]
